cfdaNumber,estimatedTotalAmt,fundsObligatedAmt,fundProgramName,id,pdPIName,piFirstName,piMiddeInitial,piLastName,poName,date,startDate,expDate,title,coPDPI,piFullName
47.074,140899.0,140899,Evolutionary Processes,2142719,Eva M Top,Eva,M,Top,Paco Moore,2022-01-28,2022-02-01,2025-01-31,Collaborative Research: Adaptive Bridge or Barrier? The Impact of Horizontal Transfer on Genetic Evolution,[],EVA TOP
47.050,344599.0,344599,XC-Crosscutting Activities Pro,2126313,Jessica R Stanley,Jessica,R,Stanley,Kimberly Blisniuk,2021-08-01,2022-01-01,2025-12-31,Collaborative Research: Exploring the tempo of exhumation and relief development to investigate mantle-to-surface connections around the Yellowstone hotspot,[],JESSICA STANLEY
47.083,3974309.0,3974309,EPSCoR RII Track-2 FEC,2119809,Michael Maughan,Michael,[],Maughan,Chinonye Nnakwe,2021-09-16,2021-10-01,2025-09-30,"RII Track-2 FEC: Developing a Circular Bio-Based Framework For Architecture, Engineering and Construction Through Additive Manufacturing","['Brian K Via', 'Ahmed Ibrahim', 'Lili Cai', 'Carolina Manrique Hoyos']",MICHAEL MAUGHAN
"47.049, 47.070",335902.0,272334,WoU-Windows on the Universe: T,2227105,Zachariah B Etienne,Zachariah,B,Etienne,Varun Chandola,2022-04-29,2021-10-01,2025-08-31,Collaborative Research: Frameworks: The Einstein Toolkit ecosystem: Enabling fundamental research in the era of multi-messenger astrophysics,[],ZACHARIAH ETIENNE
47.074,499866.0,499866,Systematics & Biodiversity Sci,2114466,Christine E Parent,Christine,E,Parent,Cathie Aime,2021-07-22,2021-10-01,2026-09-30,"RCN: Feedbacks between geological, climatological, and biological dynamics associated with the formation of the Galápagos Islands: The Island Systems Integration Consortium (ISIC)","['Lucinda P Lawson', 'Eric L Mittelstaedt']",CHRISTINE PARENT
47.050,1597830.0,1597830,DYN COUPLED NATURAL-HUMAN,2109005,Chloe B Wardropper,Sophie,L,Gilbert,Richard Yuretich,2021-07-06,2021-09-01,2023-03-31,"DISES: Cumulative effects of ecological and social stressors on the dynamics of integrated ranching-wildlife systems: drought, wolves, and human decision-makers","['Neil Carter', 'Jeremy T Bruskotter']",SOPHIE GILBERT
47.074,677575.0,677575,Ecosystem Science,2054716,Laurel Lynch,Laurel,[],Lynch,Matthew Kane,2021-07-27,2021-09-01,2025-08-31,Collaborative Research: Effects of top scavenger declines—from microbes to ecosystems,"['Michael S Strickland', 'Tara Hudiburg']",LAUREL LYNCH
"47.050, 47.070",792475.0,932566,NAIRR-Nat AI Research Resource,2126315,Xiaogang Ma,Xiaogang,[],Ma,Eva Zanzerkia,2021-07-27,2021-09-01,2025-08-31,EarthCube Capabilities: OpenMindat - Open Access and Interoperable Mineralogy Data to Broaden Community Access and Advance Geoscience Research,[],XIAOGANG MA
47.050,128702.0,128702,Paleoclimate,2102938,Grant Harley,Grant,[],Harley,David Verardo,2021-07-21,2021-08-01,2025-07-31,Collaborative Research: P2C2--Reconstructing Tropical Cyclone Precipitation throughout the Southeastern United States,[],GRANT HARLEY
47.050,539714.0,539714,Hydrologic Sciences,2100926,Daniele Tonina,Daniele,J,Tonina,Justin Lawrence,2021-06-07,2021-08-01,2025-07-31,Collaborative Research: Changes in hyporheic exchange and nitrous oxide generation due to streambed alteration by macro-roughness elements,['Elowyn Yager'],DANIELE TONINA
47.074,443170.0,443170,Population & Community Ecology,2039525,Leda N Kobziar,Leda,N,Kobziar,Andrea Porras-Alfaro,2021-03-12,2021-04-01,2025-03-31,Collaborative Research: Biomass burning smoke as a driver of multi-scale microbial teleconnections,[],LEDA KOBZIAR
47.050,78630.0,78630,Petrology and Geochemistry,2125659,Erika Rader,Erika,[],Rader,Jennifer Wade,2021-03-18,2021-04-01,2025-03-31,RAPID: Kilauea 2020,[],ERIKA RADER
47.074,336514.0,336514,Systems and Synthetic Biology,2041523,Andreas E Vasdekis,Andreas,E,Vasdekis,Bianca Garner,2021-02-23,2021-03-01,2025-02-28,Collaborative Research: Multidimensional single-cell phenotyping for elucidating genome to phenome relationships,[],ANDREAS VASDEKIS
